geom_id,current_year,policy_scenario,income_v,age_v,dep_v,literacy_v,sanitation_v,drinking_water_v,solid_waste_v,hygiene_v,congestion_v,wall_material_v,roof_material_v,toilet_facility_v,disease_risk,policy_reduction,infection_probability,pre_existing_cases,incident_cases_baseline,incident_cases_flood,flood_aggravated_pre_existing_cases,incident_cases,flood_driven_cases,total_disease_events,active_cases,recovered_cases,cumulative_incident_cases,cumulative_disease_events,cumulative_flood_burden,ead_total,ead_baseline,ead_climate_change,exposed_population_fraction,vuln_exposure_fraction
PAKr102_floodplain,2000,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7849999070167542,0.5979999899864197,0.8500000834465027,0.4950000047683716,0.7740001082420349,0.4059999287128448,0.4729999899864197,0.4150000214576721,0.5671141147613525,0.0,0.0453691333532333,0,7202,0,0,7202,0,7202,7202,0,7202,7202,0,874424680.730957,874000000.0,424680.7309570313,0.0,0.0
PAKr102_floodplain,2001,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7700000405311584,0.5860000252723694,0.8400000929832458,0.4799999892711639,0.7729999423027039,0.4040000140666961,0.4709999859333038,0.4050000309944153,0.5609639883041382,0.0,0.0448771230876445,7202,6905,0,0,6905,0,6905,10515,3592,14107,14107,0,875658626.9919434,874000000.0,1658626.9919433594,0.0,0.0
PAKr102_floodplain,2002,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7549999952316284,0.5739999413490295,0.8300000429153442,0.4650001227855682,0.7719998955726624,0.4019999802112579,0.468999981880188,0.395000010728836,0.5548141002655029,0.0,0.0443851239979267,10515,6684,0,0,6684,0,6684,11956,5243,20791,20791,0,876960528.8798828,874000000.0,2960528.8798828125,0.0,0.0
PAKr102_floodplain,2003,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7926115989685059,0.6018738746643066,0.8476902842521667,0.4970734715461731,0.7709999680519104,0.4000000059604645,0.4669999778270721,0.4182283580303192,0.5675488710403442,0.0,0.04986023157835,11956,6784,661,254,7445,915,7699,14752,4649,28236,28490,915,878171696.7226562,874000000.0,4171696.72265625,0.5447076359381787,0.5685909088510049
PAKr102_floodplain,2004,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7776115536689758,0.5898738503456116,0.8376902937889099,0.4820735156536102,0.7700000405311584,0.3979999721050262,0.4649999737739563,0.4082283675670624,0.5613988041877747,0.0,0.044911902397871,14752,6595,0,0,6595,0,6595,14005,7342,34831,35085,915,879311327.8391113,874000000.0,5311327.839111328,0.0,0.0
PAKr102_floodplain,2005,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7626116275787354,0.5778738856315613,0.8276903629302979,0.4670735001564026,0.7690000534057617,0.3959999084472656,0.4629999101161957,0.3982284069061279,0.5552487969398499,0.0,0.0444199070334434,14005,6453,0,0,6453,0,6453,13481,6977,41284,41538,915,880437380.2155762,874000000.0,6437380.215576172,0.0,0.0
PAKr102_floodplain,2006,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7476115822792053,0.5658738613128662,0.817690372467041,0.4520735442638397,0.7680000066757202,0.3940000236034393,0.4610000252723694,0.3882283568382263,0.549098789691925,0.0,0.0439279079437255,13481,6504,0,0,6504,0,6504,13258,6727,47788,48042,915,881948907.2180176,874000000.0,7948907.218017578,0.0,0.0
PAKr102_floodplain,2007,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7891252636909485,0.5967053771018982,0.8374344110488892,0.4876384139060974,0.767000138759613,0.3919999599456787,0.4589999318122864,0.4139212667942047,0.563234269618988,0.0,0.0502528510987758,13258,6571,744,304,7315,1048,7619,15592,4981,55103,55661,1963,883036746.8146973,874000000.0,9036746.814697266,0.5867082669728664,0.6229971588155379
PAKr102_floodplain,2008,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.7741252183914185,0.5847052335739136,0.8274344205856323,0.4726383984088897,0.7660002112388611,0.3899999260902405,0.4569999575614929,0.4039212763309479,0.5570842623710632,0.0,0.0445667430758476,15592,6298,0,0,6298,0,6298,14090,7800,61401,61959,1963,884608806.076416,874000000.0,10608806.076416016,0.0,0.0
PAKr102_floodplain,2009,no_policy,0.4070000350475311,0.3039999604225158,0.8379999995231628,0.5462007522583008,0.759125292301178,0.5727052092552185,0.8174343705177307,0.4576384723186493,0.7650001645088196,0.3880000114440918,0.4549999535083771,0.393921285867691,0.5509342551231384,0.0,0.0440747439861297,14090,6451,0,0,6451,0,6451,13409,7132,67852,68410,1963,886152951.3803711,874000000.0,12152951.380371094,0.0,0.0
